,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud Cover,Wind Speed
0,agadez,ne,16.583130844780115,8.04894208019553,95,17,1,14.2
1,jamestown,sh,-26.442263110022978,-2.653679864589151,69.34,73,100,19.77
2,ushuaia,ar,-82.34939142504449,-53.30256098828161,30.2,80,40,10.29
3,yellowknife,ca,83.35244152941956,-102.24979162675618,53.19,81,90,17.22
4,emerald,au,-23.123143213634535,146.55709245059825,71.19,56,23,5.82
5,kapaa,us,21.794101461592717,-158.97086862805477,81.34,70,40,12.75
6,zhaoyuan,cn,45.598122126312035,124.85461455422967,71.86,67,93,6.06
7,new norfolk,au,-56.95900662814812,137.0910622100218,52.56,62,20,9.17
8,hermanus,za,-53.90601688457757,8.722279775518047,58.98,77,91,8.99
9,butaritari,ki,12.953561196130465,162.84626471879477,84.46,68,78,4.79
10,hilo,us,13.504609601172632,-150.68126927944814,79.48,54,75,9.17
11,havre-saint-pierre,ca,55.72235219459478,-63.531292091894215,53.6,87,90,3.36
12,sterling,us,41.148360254453166,-102.24931725203211,73.08,88,40,13.42
13,saskylakh,ru,70.1476557667169,113.82187515257027,48.82,57,48,6.98
15,arraial do cabo,br,-47.536066260297254,-26.951483393229665,68,100,0,4.7
16,upernavik,gl,79.88216777278319,-54.02322922911222,41.08,78,0,11.81
17,lejanias,co,3.6318863972515913,-74.07147461202153,52.6,98,100,3.02
18,meulaboh,id,2.0466731582996402,93.7576636532811,81.4,76,100,4.03
20,vanavara,ru,61.245481136780086,99.9993736134619,69.34,64,41,8.86
21,mar del plata,ar,-40.17247487980778,-55.34539040634887,32.98,88,83,11.16
23,longyearbyen,sj,85.59186810404253,23.067292427341812,48.2,70,75,6.93
24,clyde river,ca,69.51265712551108,-78.30040404124655,33.8,100,90,13.87
25,san carlos de bariloche,ar,-42.12957535645248,-71.70150046873627,37.4,74,75,14.99
26,hithadhoo,mv,-6.661846710246252,73.02439735504294,83.74,75,100,9.64
27,amberley,nz,-43.20715832328091,173.91975418331543,63.43,59,100,13.87
28,nanortalik,gl,53.82439750545626,-41.77428362042272,36.22,94,72,1.66
31,port said,eg,31.557076872762536,33.21901177791321,84.82,19,0,9.44
32,punta arenas,cl,-77.2292762737042,-92.39783439262686,33.48,87,75,12.75
33,kerman,ir,30.9717412992279,58.79115587743479,71.6,28,0,4.7
34,albany,au,-72.71362743141172,110.62678072167625,44.6,93,15,6.93
35,kodiak,us,41.734322059213156,-149.71902475895146,85.44,30,1,5.82
36,hobart,au,-53.424229517466586,153.55219546347303,52.56,62,20,9.17
37,lac-megantic,ca,45.57743846541604,-70.97355461120597,66.74,82,20,4.88
38,sao joao da barra,br,-32.28351555273934,-24.85239338673233,69.88,75,15,3.71
40,sharan,af,33.20088793672376,69.03014301322327,67.18,24,0,5.32
41,chuy,uy,-57.10721940400136,-30.877796235527626,51.7,79,67,17.94
42,isangel,vu,-18.000682427447373,173.23670191160727,78.8,69,75,5.82
43,bredasdorp,za,-56.40995639490214,17.363634805675872,62.78,67,65,14.99
44,bluff,nz,-73.9838186639841,166.36390918491276,54,86,71,20.4
45,nicoya,cr,9.094319850073887,-85.93359688567733,82.4,69,0,4.7
